image,generated_caption,reference_captions
1000268201_693b08cb0e.jpg,a man and a woman are sitting on a bench .,A child in a pink dress is climbing up a set of stairs in an entry way . | A girl going into a wooden building . | A little girl climbing into a wooden playhouse . | A little girl climbing the stairs to her playhouse . | A little girl in a pink dress going into a wooden cabin .
1022454332_6af2c1449a.jpg,a group of people are walking through a wooded area .,"A child and a woman are at waters edge in a big city . | a large lake with a lone duck swimming in it with several people around the edge of it . | A little boy at a lake watching a duck . | A young boy waves his hand at the duck in the water surrounded by a green park . | Two people are at the edge of a lake , facing the water and the city skyline ."
102351840_323e3de834.jpg,a group of people are walking through a <UNK> <UNK> .,A man drilling a hole in the ice . | A man is drilling through the frozen ice of a pond . | A person in the snow drilling a hole in the ice . | A person standing on a frozen lake . | Two men are ice fishing .
1053804096_ad278b25f1.jpg,a girl in a pink shirt is standing on a rock in a pool .,A girl in pigtails splashes in the shallow water . | A girls plays in the surf . | a girl with pigtails is playing in the ocean by the beach . | A girl with pigtails plays in the water . | A young girl in pigtails plays in the water .
1055623002_8195a43714.jpg,a young boy and a girl in a pink dress and sandals is sitting on a bench .,A group of four children wearing pajamas have a pillow fight . | A group of kids have a pillow-fight . | A group of young children playing pillow fight on a bed . | Children having a pillow fight . | Four children are having a pillow fight .
1057251835_6ded4ada9c.jpg,a white dog is jumping over a hurdle .,A light-colored dog runs on the beach . | A small yellow dog runs on a beach | A tan dog runs on a sandy beach . | A white dog is running down a rocky beach . | Light brown dog running along the beach .
1075867198_27ca2e7efe.jpg,two children are playing in a pool .,A man in a brown shirt and dark shorts plays on the beach with his two black dogs . | A man in shorts with two black dogs holds a ball throwing toy at the beach . | a man playing with two black dogs on the beach | A man with two dogs on a beach | Man at the beach with two dogs .
1089181217_ee1167f7af.jpg,a brown dog is running through a field .,a brown dog running down a paved pathway | A brown dog running next to grass . | A dog is running down a road . | A light brown dog runs down a path happily . | Energetic brown dog running
1089755335_0bfbfd30e6.jpg,a group of people are walking through a <UNK> <UNK> .,A mother and children is fishing on a boardwalk at night . | A woman and three children stand on a deck with a fishing pole . | A woman stands with children on a boardwalk at night overlooking the sea . | Some people on a pier at night with one girl fishing off it . | Woman with three children fishing over boardwalk in the evening .
1094462889_f9966dafa6.jpg,a dog is running through a field of grass .,A brown dog plays in a deep pile of snow . | A dog looking at the camera in snow . | a dog runs through the snow . | A tan dog stand in the snow and looks up . | The brown dog is out in the snow .
1160034462_16b38174fe.jpg,a man in a blue shirt is standing on a sidewalk with a <UNK> <UNK> .,A elderly man in a straw hat is sitting on a bench . | a elderly man sits alone on a park bench . | An old man in a straw hat sits on a park bench . | The old man in the brown hat is sitting on the bench . | White haired man in gray sweater and a straw hat sitting on a bench under a tree .
1167908324_8caab45e15.jpg,a group of people are sitting on a bench .,A man is standing by a group of video games in a bar . | a man standing in a bar with a neon beer sign hanging on the wall | A man stands next to a bank of computer gambling machines . | A man stands next to three video game machines and a beer sign . | A man stands next to three video machines .
118187095_d422383c81.jpg,a group of people are sitting on a bench in a park .,Parents are pushing little children in red car carts . | twin boys being pushed in small car shaped strollers in a parade | Twin toddlers dressed alike being pushed in plastic car strollers in a parade | Two children ride in toy cars . | Two kids being pushed in car shaped strollers in a parade .
1232148178_4f45cc3284.jpg,a little boy is sitting on a wooden bench .,A baby girl playing at a park . | A closeup of a child on a playground with adult supervision . | A young boy poses for a picture in front of a playground . | A young girl is smiling in front of the camera at a park . | There is a little blond hair girl with a green sweatshirt and a red shirt playing on a playground .
1234293791_6566284bcd.jpg,a man in a blue shirt is standing on a sidewalk with a <UNK> <UNK> .,A girl in a helmet rides a horse . | A girl rides a horse . | A young girl wearing a helmet and riding a brown horse . | Girl with black helmet riding brown dappled horse | The little girl is riding in a brown horse .
1235580648_7eebaed9bc.jpg,a man in a blue shirt is standing on a sidewalk with a <UNK> <UNK> .,"The hatted males pose for a picture . | The two men are wearing tall hats , one hat is a red print and the other is gold colored . | Two men in tall hats frown at the camera | Two men wear silly stove pipe hats and wear makeup . | Two people wearing hats sit and look at the camera ."
123889082_d3751e0350.jpg,two dogs are running through a field .,"A brown dog biting a gray dogs ear . | Brown dog biting a grey dogs ear . | Tan dog on grass with mouth open , about to bite gray dog 's ear . | Two dogs are playing in a grassy field ; one dog is biting the ear of the other dog . | Two dogs are playing together on green grass ."
1240297429_c36ae0c58f.jpg,a man in a blue shirt is standing on a white dog with a red collar .,A dog in a number six jersey is running through a field . | A dog is leaping through the grass . | A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird . | A white and tan dog leaps through the air . | The dog in a vest leaps in the air and there is a bird flying .
124195430_d14028660f.jpg,a dog is running through the water .,A brown horse and a black foal on the beach | A brown horse stands near a black horse that is sitting on the ground . | A large brown horse stands over a small black colt that is kneeling on the sand . | An adult horse approaching a foal on a sandy plain . | A thin brown horse standing and a small black horse sitting on sand .
1248734482_3038218f3b.jpg,a little girl in a pink dress is sitting on a wooden bench .,A close-up of a young girl with a pink shirt laying on grass . | A girl in a pink shirt lies on her back in the grass . | A girl wearing a pink shirt lays on the green grass and looks up . | A young girl is laying in the grass posing for the camera | Girl in pink shirt with white writing lying in grass .
1262077938_8b9516c273.jpg,a girl in a red dress is standing in front of a <UNK> store .,A girl with a black purse sitting on a wooden bench . | A woman sits alone on a park bench in the sun . | A woman with a handbag is sitting on a wooden bench . | A young asian woman wearing long shorts and a gray collared t-shirt is sitting on a wooden bench . | A young woman with a black purse sits on a wooden bench .
1321723162_9d4c78b8af.jpg,a woman in a blue shirt is standing on a sidewalk with a <UNK> <UNK> .,A little girl holding hands with her ice skating instructor . | An older girl helps a younger girl ice skate . | The two girls hold hands with one another while they skate on the ice . | Two girls are ice skating with each other . | Two people go ice skating in a rink .
1352410176_af6b139734.jpg,a boy in a red shirt is jumping into a pool .,A blonde girl is stepping on vertical logs in the sand . | A little girl is walking along a line of logs on a sandy beach . | A young girl balances on wooden pylons at the beach . | A young girl is walking on stumps on the beach next to the ocean . | Girl walking along the tops of wooden posts set into sand on a beach .
1384292980_4022a7520c.jpg,a man in a blue shirt and a black hat is sitting on a bench .,The girls walk down the street . | Two asian females go walking . | Two women walking . | Two young women walking . | Two young women walk past a door in a white wall .
138718600_f430ebca17.jpg,a man is standing on a rock next to a man in a blue shirt and a man in a,"Two bicycles are standing behind two people sitting on the grass near a body of water . | Two blonde women sit beside their bicycles in the grass beside a body of water . | Two girls are sitting on a path by a river with their bicycles parked beside them . | Two people are sitting by a pond , next to their bikes . | Two women sitting in the grass with their bikes behind them ."
1394368714_3bc7c19969.jpg,a man and a woman are sitting on a bench .,A dog waits as his owner rummages through a collection of stuff . | A man holding the leash of a pug bends down to look in a bin at an outdoor rummage sale . | A man with a pug dog bends over to pick something off the sidewalk . | A man with a pug on a leash bending down to examine merchandise . | A person holding a small dog on a leash is bending over and looking through items .
1397923690_d3bf1f799e.jpg,a skier is doing a trick on a ramp .,A man is carefully skiing down a snow covered hill wearing a backpack . | A person skis down a snowy hill . | A skier wearing a black backpack is making his way down a hill . | a skier with poles is walking through the snow | A skier carefully walks down a steep snow slope .
1398606571_f543f7698a.jpg,a woman in a blue shirt is standing on a rock next to a large rock .,"A girl in an innertube enjoying the lake . | A girl swimming with an innertube saying something . | A young girl wearing a bikini in an innertube . | Girl with innertube in water | Young girl in pink and green bikini , swimming with a rubber ring ."
1410193619_13fff6c875.jpg,a man in a blue shirt is sitting on a bench .,"A baby stands on the side of a couch and knocks over a lamp . | A small child climbs onto the arm of a red couch . | Baby indoors , climbing on red couch arm , reaching for lamp . | Small girl in a teal dress on the arm of a chair reaching for a floor lamp . | Woman sitting on a red couch inside the house ."
1425069308_488e5fcf9d.jpg,a dog is jumping over a hurdle .,"A dog on two legs with its mouth opened toward a blue ball in the air . | A white dog catching a blue ball | A white dog jumps to catch a blue ball in a living room . | The dog is jumping in the air to catch a ball . | Two dogs in a family room are playing , one is catching a ball in its mouth ."
1425919702_ddb761aeec.jpg,a man in a blue shirt is standing on a sidewalk with a <UNK> <UNK> .,A crowd of people are sitting in seats in a sports ground bleachers . | a group of people sitting at a sporting event . | A group of people sit watching an event behind a Tim hortons sign . | People wait patiently in the seats for the show to begin . | Two men wearing hats are shown at the front of a crowd of people .
